"Time","master","node-1","node-2","node-3","node-4","node-5","node-6"
2025-05-09 00:00:00,1.03%,1.04%,0.329%,0.363%,0.415%,0.385%,0.387%
2025-05-09 00:00:30,1.03%,1.05%,0.330%,0.287%,0.338%,0.305%,0.308%
2025-05-09 00:01:00,1.06%,1.07%,0.444%,0.453%,0.460%,0.392%,0.330%
2025-05-09 00:01:30,1.08%,1.07%,0.575%,0.738%,0.599%,0.517%,0.339%
2025-05-09 00:02:00,1.08%,1.18%,0.722%,1.03%,0.746%,0.658%,0.357%
2025-05-09 00:02:30,1.17%,1.19%,0.888%,1.34%,0.911%,0.813%,0.405%
2025-05-09 00:03:00,1.16%,1.21%,1.06%,1.66%,1.08%,0.980%,0.463%
2025-05-09 00:03:30,1.17%,1.22%,1.32%,1.97%,1.24%,1.15%,0.527%
2025-05-09 00:04:00,1.17%,1.24%,1.49%,2.28%,1.41%,1.31%,0.591%
2025-05-09 00:04:30,1.18%,1.27%,1.65%,2.59%,1.56%,1.48%,0.650%
2025-05-09 00:05:00,1.19%,1.30%,1.79%,2.89%,1.71%,1.64%,0.703%
2025-05-09 00:05:30,1.19%,1.32%,1.86%,3.21%,1.86%,1.83%,0.828%
2025-05-09 00:06:00,1.22%,1.34%,1.84%,3.19%,1.82%,1.84%,0.892%
2025-05-09 00:06:30,1.27%,1.28%,1.79%,3.10%,1.77%,1.80%,0.944%
2025-05-09 00:07:00,1.23%,1.29%,1.71%,2.96%,1.69%,1.74%,0.969%
2025-05-09 00:07:30,1.27%,1.29%,1.60%,2.78%,1.59%,1.65%,0.969%
2025-05-09 00:08:00,1.29%,1.31%,1.39%,2.58%,1.48%,1.55%,0.956%
2025-05-09 00:08:30,1.32%,1.32%,1.28%,2.38%,1.37%,1.45%,0.943%
2025-05-09 00:09:00,1.35%,1.33%,1.18%,2.18%,1.27%,1.35%,0.935%
2025-05-09 00:09:30,1.39%,1.32%,1.09%,1.99%,1.18%,1.27%,0.937%
2025-05-09 00:10:00,1.43%,1.31%,1.05%,1.83%,1.12%,1.24%,0.951%
2025-05-09 00:10:30,1.43%,1.30%,1.03%,1.61%,1.01%,1.17%,0.864%
2025-05-09 00:11:00,1.43%,1.29%,1.05%,1.55%,1.02%,1.22%,0.877%
2025-05-09 00:11:30,1.43%,1.29%,1.09%,1.55%,1.06%,1.33%,0.907%
2025-05-09 00:12:00,1.43%,1.38%,1.16%,1.61%,1.13%,1.47%,0.944%
2025-05-09 00:12:30,1.51%,1.38%,1.24%,1.70%,1.22%,1.64%,1.00%
2025-05-09 00:13:00,1.54%,1.38%,1.34%,1.81%,1.32%,1.82%,1.05%
2025-05-09 00:13:30,1.55%,1.38%,1.51%,1.92%,1.44%,2.01%,1.11%
2025-05-09 00:14:00,1.55%,1.37%,1.59%,2.04%,1.55%,2.19%,1.17%
2025-05-09 00:14:30,1.55%,1.38%,1.66%,2.14%,1.66%,2.32%,1.23%
2025-05-09 00:15:00,1.56%,1.39%,1.69%,2.21%,1.75%,2.42%,1.26%
2025-05-09 00:15:30,1.57%,1.39%,1.70%,2.34%,1.90%,2.54%,1.36%
2025-05-09 00:16:00,1.57%,1.39%,1.69%,2.33%,1.92%,2.54%,1.36%
2025-05-09 00:16:30,1.59%,1.61%,1.98%,2.28%,1.90%,2.49%,1.62%
2025-05-09 00:17:00,1.51%,2.80%,2.91%,2.20%,1.86%,2.39%,2.44%
2025-05-09 00:17:30,1.51%,3.71%,3.90%,2.09%,1.81%,2.26%,3.11%
2025-05-09 00:18:00,1.51%,4.41%,4.54%,1.95%,1.74%,2.12%,3.87%
2025-05-09 00:18:30,1.51%,5.28%,5.29%,1.81%,1.65%,1.96%,4.88%
2025-05-09 00:19:00,1.51%,5.99%,5.91%,1.67%,1.56%,1.81%,5.48%
2025-05-09 00:19:30,1.51%,6.77%,6.69%,1.56%,1.47%,1.70%,6.23%
2025-05-09 00:20:00,1.50%,7.56%,7.39%,1.48%,1.44%,1.62%,6.92%
2025-05-09 00:20:30,1.50%,8.20%,8.11%,1.36%,1.34%,1.50%,7.53%
2025-05-09 00:21:00,1.51%,8.92%,8.78%,1.40%,1.41%,1.51%,8.21%
2025-05-09 00:21:30,1.52%,8.95%,8.85%,1.83%,1.71%,1.94%,8.40%
2025-05-09 00:22:00,1.52%,8.63%,8.78%,2.32%,2.08%,2.48%,8.50%
2025-05-09 00:22:30,1.61%,8.63%,8.75%,2.89%,2.54%,3.11%,8.70%
2025-05-09 00:23:00,1.62%,8.47%,8.72%,3.51%,3.06%,3.79%,8.35%
2025-05-09 00:23:30,1.63%,8.59%,9.06%,4.17%,3.63%,4.48%,8.47%
2025-05-09 00:24:00,1.62%,8.67%,9.19%,4.81%,4.17%,5.18%,8.62%
2025-05-09 00:24:30,1.62%,8.52%,9.28%,5.41%,4.68%,5.83%,8.69%
2025-05-09 00:25:00,1.62%,8.57%,9.40%,5.95%,5.11%,6.41%,8.90%
2025-05-09 00:25:30,1.62%,8.49%,9.33%,6.51%,5.58%,7.01%,8.88%
