"Time","master","node-1","node-2","node-3","node-4","node-5","node-6"
2025-05-09 00:00:30,7.93%,0.179%,,0.250%,0.0714%,,0.571%
2025-05-09 00:01:00,15.4%,0.607%,,0.143%,0.536%,0.500%,0.750%
2025-05-09 00:01:30,11.8%,0.893%,0.536%,0.321%,1.43%,0.821%,0.643%
2025-05-09 00:02:00,9.64%,0.964%,1.29%,0.607%,2.68%,1%,0.571%
2025-05-09 00:02:30,7.21%,0.571%,1.96%,0.857%,2.11%,1.07%,0.536%
2025-05-09 00:03:00,6.21%,3.07%,1.86%,1.04%,2.93%,1.14%,0.750%
2025-05-09 00:03:30,6.14%,1.86%,2.50%,2.25%,2.50%,1.21%,0.643%
2025-05-09 00:04:00,6.36%,1.14%,1.71%,2.21%,2.50%,0.929%,0.643%
2025-05-09 00:04:30,6.79%,0.893%,1.25%,2%,2.21%,1.29%,0.393%
2025-05-09 00:05:00,5.57%,0.536%,1.43%,2.32%,4.93%,1%,0.679%
2025-05-09 00:05:30,5%,0.321%,1.11%,2.39%,3.79%,1.14%,0.679%
2025-05-09 00:06:00,3.50%,0.179%,1.43%,1.93%,2.79%,0.893%,1.14%
2025-05-09 00:06:30,4.79%,0.500%,1.11%,1.61%,4.07%,0.536%,0.714%
2025-05-09 00:07:00,7.36%,0.500%,0.929%,1.68%,3.75%,0.964%,0.714%
2025-05-09 00:07:30,8.93%,0.321%,0.571%,1.79%,2.57%,2.04%,0.679%
2025-05-09 00:08:00,6.50%,0.179%,0.536%,1.07%,1.82%,1.25%,0.393%
2025-05-09 00:08:30,4.43%,1.46%,0.607%,0.929%,1.64%,1.50%,0.464%
2025-05-09 00:09:00,7.21%,0.893%,0.357%,1.75%,1.57%,1.14%,1.04%
2025-05-09 00:09:30,6.21%,0.964%,0.214%,1.54%,2.82%,1.43%,0.893%
2025-05-09 00:10:00,5.43%,0.571%,1%,1.43%,2.14%,0.857%,0.536%
2025-05-09 00:10:30,7.29%,0.357%,0.821%,1.64%,2.18%,1.04%,0.571%
2025-05-09 00:11:00,6.50%,0.214%,1%,1.25%,1.75%,1.36%,0.821%
2025-05-09 00:11:30,4.86%,1.54%,1.14%,1.29%,1.54%,1.11%,1.04%
2025-05-09 00:12:00,4%,1.79%,1.46%,1.32%,1.14%,0.893%,0.607%
2025-05-09 00:12:30,3.21%,1.32%,0.893%,1.79%,0.679%,1.29%,0.357%
2025-05-09 00:13:00,4.14%,1.07%,1.25%,1.07%,1.61%,2.71%,0.893%
2025-05-09 00:13:30,3.36%,0.643%,1.25%,1.57%,2.50%,2.14%,1.07%
2025-05-09 00:14:00,3.50%,0.643%,1.96%,1.86%,2.14%,1.96%,0.643%
2025-05-09 00:14:30,3.21%,0.607%,2.21%,2.04%,2.54%,1.18%,1.04%
2025-05-09 00:15:00,3.86%,0.357%,2.36%,1.96%,1.96%,2.32%,0.786%
2025-05-09 00:15:30,3.21%,0.214%,2.46%,1.86%,1.46%,2.64%,0.750%
2025-05-09 00:16:00,3.93%,0.143%,2.50%,1.54%,1.11%,2%,0.929%
2025-05-09 00:16:30,3.43%,1%,3.36%,0.929%,0.893%,1.93%,2%
2025-05-09 00:17:00,4.36%,8.54%,6.21%,1.25%,0.821%,1.39%,4.68%
2025-05-09 00:17:30,8.64%,10.6%,9.43%,1.14%,0.500%,0.821%,7.00%
2025-05-09 00:18:00,6.79%,9.25%,10.9%,0.714%,0.786%,0.964%,8.32%
2025-05-09 00:18:30,6.93%,9.50%,9.64%,0.607%,0.964%,1.07%,11.5%
2025-05-09 00:19:00,8.21%,8.36%,7.75%,0.857%,1.04%,0.857%,9.54%
2025-05-09 00:19:30,7.50%,7.64%,10.3%,1%,0.607%,0.964%,8.61%
2025-05-09 00:20:00,5.93%,7.61%,8.11%,1.07%,1.04%,0.821%,7.50%
2025-05-09 00:20:30,4.57%,7.93%,7.79%,1.68%,0.643%,1.61%,6.43%
2025-05-09 00:21:00,3.79%,8.39%,8.71%,2.36%,0.643%,1.46%,7.54%
2025-05-09 00:21:30,5.86%,8.11%,7.75%,2.93%,1.36%,3.93%,8.89%
2025-05-09 00:22:00,5.36%,9.32%,8.75%,3.71%,2.50%,6.43%,9.39%
2025-05-09 00:22:30,5.07%,8.71%,9.18%,3.93%,3.57%,7.29%,10.8%
2025-05-09 00:23:00,4.50%,7.96%,9.04%,5.39%,4.82%,8.18%,11.8%
2025-05-09 00:23:30,5%,7.79%,11.7%,6.39%,4.64%,8.25%,10.8%
2025-05-09 00:24:00,7.36%,7.14%,9.86%,8.18%,4.18%,8.64%,9.96%
2025-05-09 00:24:30,5.07%,6.75%,9.61%,7.61%,3.71%,8.39%,10.6%
2025-05-09 00:25:00,5.86%,6.36%,10.8%,7.57%,4.46%,7.04%,9.96%
2025-05-09 00:25:30,4.07%,6.50%,9.57%,7.32%,5.54%,6.96%,9.96%
2025-05-09 00:26:00,5.79%,8.04%,10.9%,6.21%,4.36%,7.25%,11.7%
2025-05-09 00:26:30,5%,7.43%,8%,4.39%,4.82%,6.43%,9.68%
2025-05-09 00:27:00,3.43%,7.11%,8.57%,3.39%,4.29%,5.71%,10.2%
2025-05-09 00:27:30,3.21%,8%,8.46%,3.21%,3.79%,4.86%,10.1%
2025-05-09 00:28:00,2.79%,14.3%,8.93%,3.21%,3.04%,4.11%,8.46%
2025-05-09 00:28:30,3.50%,11.6%,10.1%,3.39%,3.11%,3.82%,9.54%
