ts,cycle_id,mode,energy,cost,idle_ratio,conc,node_cnt,nodes,nodes_pods
2025-05-13T19:59:49.281668,0,incremental,2.8450,0.0950,0.2782,0.5000,2,australia-southeast2|e2-standard-4|0.0|node-1;us-west1|n1-standard-2|0.095|pack-us-west1-n1-standard-2-62597,node-1:[default/step-load-7d6dd98f99-44zkx|default/step-load-7d6dd98f99-c5gtt|default/step-load-7d6dd98f99-d748r|default/step-load-7d6dd98f99-g9fbh];pack-us-west1-n1-standard-2-62597:[default/step-load-7d6dd98f99-r926l|default/nginx-7b6d77bd77-krrj5|default/step-load-7d6dd98f99-tszsp|default/nginx-7b6d77bd77-4drlw]
2025-05-13T20:07:16.077548,1,full,2.1800,0.0475,0.1588,0.5556,3,australia-southeast2|e2-standard-4|0.0|node-1;us-west1|n1-standard-2|0.0|pack-us-west1-n1-standard-2-62597;us-west1|n1-standard-1|0.0475|up-us-west1-n1-standard-1-93300,node-1:[default/step-load-7d6dd98f99-44zkx|default/step-load-7d6dd98f99-c5gtt|default/step-load-7d6dd98f99-d748r|default/step-load-7d6dd98f99-g9fbh];pack-us-west1-n1-standard-2-62597:[default/nginx-7b6d77bd77-4drlw|default/step-load-7d6dd98f99-r926l|default/step-load-7d6dd98f99-tszsp];up-us-west1-n1-standard-1-93300:[default/nginx-7b6d77bd77-krrj5|default/nginx-7b6d77bd77-kpzlh]
2025-05-13T20:11:24.040205,2,incremental,3.9071,0.4251,0.8027,0.3889,6,australia-southeast2|e2-standard-4|0.0|node-1;us-west1|n1-standard-2|0.0|pack-us-west1-n1-standard-2-62597;us-west1|n1-standard-1|0.0|up-us-west1-n1-standard-1-93300;us-east1|n1-highcpu-4|0.141696|rfsa-us-east1-n1-highcpu-4-29805;us-east1|n1-highcpu-4|0.141696|rfsa-us-east1-n1-highcpu-4-81988;us-west1|n1-highcpu-4|0.141696|rfsa-us-west1-n1-highcpu-4-64655,node-1:[default/nginx-7b6d77bd77-gxgw4];pack-us-west1-n1-standard-2-62597:[default/step-load-7d6dd98f99-tszsp|default/step-load-7d6dd98f99-d748r|default/step-load-7d6dd98f99-44zkx|default/nginx-7b6d77bd77-krrj5];up-us-west1-n1-standard-1-93300:[default/step-load-7d6dd98f99-c5gtt|default/nginx-7b6d77bd77-4drlw];rfsa-us-east1-n1-highcpu-4-29805:[default/renaissance-9bw2j];rfsa-us-east1-n1-highcpu-4-81988:[default/renaissance-bkqlq|default/step-load-7d6dd98f99-g9fbh|default/nginx-7b6d77bd77-tr6rp];rfsa-us-west1-n1-highcpu-4-64655:[default/renaissance-z89wc|default/step-load-7d6dd98f99-r926l]
2025-05-13T20:16:45.776703,3,consolidate,2.9937,0.0000,0.6275,0.3600,5,australia-southeast2|e2-standard-4|0.0|node-1;us-west1|n1-standard-2|0.0|pack-us-west1-n1-standard-2-62597;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-29805;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-81988;us-west1|n1-highcpu-4|0.0|rfsa-us-west1-n1-highcpu-4-64655,node-1:[default/nginx-7b6d77bd77-gxgw4|default/step-load-7d6dd98f99-44zkx|default/step-load-7d6dd98f99-c5gtt|default/step-load-7d6dd98f99-d748r|default/step-load-7d6dd98f99-g9fbh];pack-us-west1-n1-standard-2-62597:[default/nginx-7b6d77bd77-4drlw|default/nginx-7b6d77bd77-krrj5|default/step-load-7d6dd98f99-r926l|default/step-load-7d6dd98f99-tszsp];rfsa-us-east1-n1-highcpu-4-29805:[default/renaissance-9bw2j];rfsa-us-east1-n1-highcpu-4-81988:[default/nginx-7b6d77bd77-tr6rp|default/renaissance-bkqlq];rfsa-us-west1-n1-highcpu-4-64655:[default/renaissance-z89wc]
2025-05-13T20:17:00.537252,3,full,2.7437,0.0000,0.1275,0.3600,5,australia-southeast2|e2-standard-4|0.0|node-1;us-west1|n1-standard-2|0.0|pack-us-west1-n1-standard-2-62597;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-29805;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-81988;us-west1|n1-highcpu-4|0.0|rfsa-us-west1-n1-highcpu-4-64655,node-1:[default/nginx-7b6d77bd77-gxgw4|default/step-load-7d6dd98f99-44zkx|default/step-load-7d6dd98f99-c5gtt|default/step-load-7d6dd98f99-d748r|default/step-load-7d6dd98f99-g9fbh];pack-us-west1-n1-standard-2-62597:[default/nginx-7b6d77bd77-4drlw|default/step-load-7d6dd98f99-r926l|default/step-load-7d6dd98f99-tszsp|default/step-load-7d6dd98f99-fnnss];rfsa-us-east1-n1-highcpu-4-29805:[default/renaissance-9bw2j|default/step-load-7d6dd98f99-9mfjh];rfsa-us-east1-n1-highcpu-4-81988:[default/nginx-7b6d77bd77-tr6rp|default/renaissance-bkqlq|default/nginx-7b6d77bd77-krrj5|default/nginx-7b6d77bd77-fgp7g];rfsa-us-west1-n1-highcpu-4-64655:[default/renaissance-z89wc|default/step-load-7d6dd98f99-26gf5]
2025-05-13T20:18:58.607399,4,incremental,3.4192,0.0800,0.4336,0.2778,6,australia-southeast2|e2-standard-4|0.0|node-1;us-west1|n1-standard-2|0.0|pack-us-west1-n1-standard-2-62597;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-29805;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-81988;us-west1|n1-highcpu-4|0.0|rfsa-us-west1-n1-highcpu-4-64655;us-east4|n4-highcpu-2|0.079964|rfsa-us-east4-n4-highcpu-2-99352,node-1:[default/step-load-7d6dd98f99-bfxvp|default/step-load-7d6dd98f99-g9fbh|default/nginx-7b6d77bd77-4drlw|default/nginx-7b6d77bd77-tr6rp];pack-us-west1-n1-standard-2-62597:[default/step-load-7d6dd98f99-lhdrs|default/step-load-7d6dd98f99-44zkx|default/nginx-7b6d77bd77-krrj5|default/step-load-7d6dd98f99-c5gtt];rfsa-us-east1-n1-highcpu-4-29805:[default/renaissance-9bw2j|default/step-load-7d6dd98f99-r926l];rfsa-us-east1-n1-highcpu-4-81988:[default/renaissance-bkqlq|default/step-load-7d6dd98f99-tszsp];rfsa-us-west1-n1-highcpu-4-64655:[default/renaissance-z89wc|default/step-load-7d6dd98f99-d748r];rfsa-us-east4-n4-highcpu-2-99352:[default/mbw-fpntw|default/nginx-7b6d77bd77-gxgw4|default/step-load-7d6dd98f99-pttpz]
2025-05-13T20:19:17.237809,5,incremental,3.2593,0.0000,0.3175,0.2778,6,australia-southeast2|e2-standard-4|0.0|node-1;us-west1|n1-standard-2|0.0|pack-us-west1-n1-standard-2-62597;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-29805;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-81988;us-east4|n4-highcpu-2|0.0|rfsa-us-east4-n4-highcpu-2-99352;us-west1|n1-highcpu-4|0.0|rfsa-us-west1-n1-highcpu-4-64655,node-1:[default/step-load-7d6dd98f99-44zkx|default/step-load-7d6dd98f99-bfxvp|default/step-load-7d6dd98f99-g9fbh|default/step-load-7d6dd98f99-26gf5];pack-us-west1-n1-standard-2-62597:[default/step-load-7d6dd98f99-c5gtt|default/step-load-7d6dd98f99-tszsp|default/nginx-7b6d77bd77-4drlw|default/step-load-7d6dd98f99-d748r];rfsa-us-east1-n1-highcpu-4-29805:[default/renaissance-9bw2j|default/step-load-7d6dd98f99-9mfjh];rfsa-us-east1-n1-highcpu-4-81988:[default/nginx-7b6d77bd77-tr6rp|default/renaissance-bkqlq|default/nginx-7b6d77bd77-fgp7g|default/nginx-7b6d77bd77-krrj5];rfsa-us-east4-n4-highcpu-2-99352:[default/mbw-k2nj7|default/step-load-7d6dd98f99-b6bl2|default/nginx-7b6d77bd77-gxgw4];rfsa-us-west1-n1-highcpu-4-64655:[default/renaissance-z89wc|default/step-load-7d6dd98f99-r926l]
2025-05-13T20:20:17.537770,6,incremental,3.2593,0.0000,0.2675,0.2778,6,australia-southeast2|e2-standard-4|0.0|node-1;us-west1|n1-standard-2|0.0|pack-us-west1-n1-standard-2-62597;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-29805;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-81988;us-east4|n4-highcpu-2|0.0|rfsa-us-east4-n4-highcpu-2-99352;us-west1|n1-highcpu-4|0.0|rfsa-us-west1-n1-highcpu-4-64655,node-1:[default/step-load-7d6dd98f99-44zkx|default/step-load-7d6dd98f99-c5gtt|default/step-load-7d6dd98f99-d748r|default/step-load-7d6dd98f99-g9fbh|default/nginx-7b6d77bd77-zdf8f];pack-us-west1-n1-standard-2-62597:[default/step-load-7d6dd98f99-r926l|default/step-load-7d6dd98f99-tszsp|default/nginx-7b6d77bd77-fgp7g|default/step-load-7d6dd98f99-pttpz];rfsa-us-east1-n1-highcpu-4-29805:[default/renaissance-9bw2j|default/step-load-7d6dd98f99-9mfjh];rfsa-us-east1-n1-highcpu-4-81988:[default/renaissance-bkqlq|default/nginx-7b6d77bd77-4drlw|default/nginx-7b6d77bd77-krrj5|default/nginx-7b6d77bd77-tr6rp];rfsa-us-east4-n4-highcpu-2-99352:[default/mbw-fpntw|default/nginx-7b6d77bd77-gxgw4|default/step-load-7d6dd98f99-bfxvp];rfsa-us-west1-n1-highcpu-4-64655:[default/renaissance-z89wc|default/step-load-7d6dd98f99-26gf5]
2025-05-13T20:21:25.791360,7,incremental,3.2843,0.0000,0.2025,0.2778,6,australia-southeast2|e2-standard-4|0.0|node-1;us-west1|n1-standard-2|0.0|pack-us-west1-n1-standard-2-62597;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-29805;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-81988;us-east4|n4-highcpu-2|0.0|rfsa-us-east4-n4-highcpu-2-99352;us-west1|n1-highcpu-4|0.0|rfsa-us-west1-n1-highcpu-4-64655,node-1:[default/nginx-7b6d77bd77-gxgw4|default/step-load-7d6dd98f99-44zkx|default/step-load-7d6dd98f99-bfxvp|default/step-load-7d6dd98f99-c5gtt|default/step-load-7d6dd98f99-d748r|default/step-load-7d6dd98f99-g9fbh];pack-us-west1-n1-standard-2-62597:[default/nginx-7b6d77bd77-4drlw|default/nginx-7b6d77bd77-krrj5|default/step-load-7d6dd98f99-r926l|default/step-load-7d6dd98f99-tszsp|default/nginx-7b6d77bd77-5c6ds];rfsa-us-east1-n1-highcpu-4-29805:[default/renaissance-9bw2j|default/step-load-7d6dd98f99-9mfjh];rfsa-us-east1-n1-highcpu-4-81988:[default/nginx-7b6d77bd77-fgp7g|default/nginx-7b6d77bd77-tr6rp|default/renaissance-bkqlq|default/nginx-7b6d77bd77-rnzp6];rfsa-us-east4-n4-highcpu-2-99352:[default/mbw-fpntw|default/step-load-7d6dd98f99-pttpz|default/nginx-7b6d77bd77-zdf8f];rfsa-us-west1-n1-highcpu-4-64655:[default/renaissance-z89wc|default/step-load-7d6dd98f99-26gf5]
2025-05-13T20:22:25.650204,8,incremental,3.2843,0.0000,0.2025,0.2778,6,australia-southeast2|e2-standard-4|0.0|node-1;us-west1|n1-standard-2|0.0|pack-us-west1-n1-standard-2-62597;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-29805;us-east1|n1-highcpu-4|0.0|rfsa-us-east1-n1-highcpu-4-81988;us-east4|n4-highcpu-2|0.0|rfsa-us-east4-n4-highcpu-2-99352;us-west1|n1-highcpu-4|0.0|rfsa-us-west1-n1-highcpu-4-64655,node-1:[default/nginx-7b6d77bd77-zdf8f|default/step-load-7d6dd98f99-44zkx|default/step-load-7d6dd98f99-bfxvp|default/step-load-7d6dd98f99-c5gtt|default/step-load-7d6dd98f99-d748r|default/step-load-7d6dd98f99-g9fbh];pack-us-west1-n1-standard-2-62597:[default/nginx-7b6d77bd77-4drlw|default/nginx-7b6d77bd77-5c6ds|default/nginx-7b6d77bd77-krrj5|default/step-load-7d6dd98f99-r926l|default/step-load-7d6dd98f99-tszsp];rfsa-us-east1-n1-highcpu-4-29805:[default/renaissance-9bw2j|default/step-load-7d6dd98f99-9mfjh];rfsa-us-east1-n1-highcpu-4-81988:[default/nginx-7b6d77bd77-fgp7g|default/nginx-7b6d77bd77-rnzp6|default/nginx-7b6d77bd77-tr6rp|default/renaissance-bkqlq];rfsa-us-east4-n4-highcpu-2-99352:[default/mbw-fpntw|default/step-load-7d6dd98f99-pttpz|default/nginx-7b6d77bd77-gxgw4];rfsa-us-west1-n1-highcpu-4-64655:[default/renaissance-z89wc|default/step-load-7d6dd98f99-26gf5]
