job,start_time,completion_time,duration_seconds
renaissance,2025-05-13T20:06:52+00:00,2025-05-13T20:47:15+00:00,2423
mbw,2025-05-13T21:51:50+00:00,2025-05-13T22:46:39+00:00,3289
