timestamp,action,pod
2025-05-10 12:11:28,ADD,step-load-8476d48fcd-z54zx
2025-05-10 12:21:28,ADD,renaissance-gh8lv
2025-05-10 12:33:32,ADD,renaissance-wlhp7
2025-05-10 12:33:32,DEL,renaissance-gh8lv
2025-05-10 12:45:35,ADD,renaissance-h27hg
2025-05-10 12:45:35,DEL,renaissance-wlhp7
2025-05-10 12:57:39,ADD,renaissance-xstxh
2025-05-10 12:57:39,DEL,renaissance-h27hg
2025-05-10 13:09:41,ADD,renaissance-vzjh9
2025-05-10 13:09:41,DEL,renaissance-xstxh
2025-05-10 13:21:42,DEL,renaissance-vzjh9
2025-05-10 13:21:53,ADD,renaissance-zp5xj
2025-05-10 13:33:55,ADD,renaissance-qwn28
2025-05-10 13:33:55,DEL,renaissance-zp5xj
2025-05-10 13:45:56,ADD,renaissance-dfj8z
2025-05-10 13:45:56,DEL,renaissance-qwn28
2025-05-10 13:58:01,DEL,renaissance-dfj8z
2025-05-10 14:03:18,ADD,nginx-7c4b4649d-tpghj
2025-05-10 14:11:36,DEL,nginx-7c4b4649d-tpghj
2025-05-10 14:13:09,ADD,nginx-7c4b4649d-sg2px
2025-05-10 14:17:35,DEL,nginx-7c4b4649d-sg2px
2025-05-10 14:18:06,DEL,step-load-8476d48fcd-z54zx
