job,start_time,completion_time,duration_seconds
renaissance,2025-05-13T09:18:38+00:00,2025-05-13T10:01:45+00:00,2587
mbw,2025-05-13T10:38:49+00:00,2025-05-13T11:42:40+00:00,3831
